modell,modszer,zajszint,ismetles,eset,spearman,top5_atfedes,top1_egyezes
logreg,shap,0.01,0,759,0.9982456140350877,1.0,1
logreg,shap,0.01,0,766,1.0,1.0,1
logreg,shap,0.01,0,786,1.0,1.0,1
logreg,shap,0.01,0,790,1.0,1.0,1
logreg,shap,0.01,0,792,1.0,1.0,1
logreg,shap,0.01,0,809,1.0,1.0,1
logreg,shap,0.01,0,812,1.0,1.0,1
logreg,shap,0.01,0,830,1.0,1.0,1
logreg,shap,0.01,0,845,1.0,1.0,1
logreg,shap,0.01,0,847,1.0,1.0,1
logreg,shap,0.01,0,848,1.0,1.0,1
logreg,shap,0.01,0,850,0.9982456140350877,1.0,1
logreg,shap,0.01,0,860,1.0,1.0,1
logreg,shap,0.01,0,864,0.9982456140350877,1.0,1
logreg,shap,0.01,0,869,1.0,1.0,1
logreg,shap,0.01,0,872,1.0,1.0,1
logreg,shap,0.01,0,874,1.0,1.0,1
logreg,shap,0.01,0,875,1.0,1.0,1
logreg,shap,0.01,0,878,1.0,1.0,1
logreg,shap,0.01,0,880,1.0,1.0,1
logreg,shap,0.01,0,886,1.0,1.0,1
logreg,shap,0.01,0,889,1.0,1.0,1
logreg,shap,0.01,0,896,1.0,1.0,1
logreg,shap,0.01,0,900,0.9982456140350877,1.0,1
logreg,shap,0.01,0,904,1.0,1.0,1
logreg,shap,0.01,0,908,1.0,1.0,1
logreg,shap,0.01,0,927,1.0,1.0,1
logreg,shap,0.01,0,934,1.0,1.0,1
logreg,shap,0.01,0,939,0.9982456140350877,1.0,1
logreg,shap,0.01,0,943,1.0,1.0,1
logreg,shap,0.01,0,945,1.0,1.0,1
logreg,shap,0.01,0,954,1.0,1.0,1
logreg,shap,0.01,0,959,1.0,1.0,1
logreg,shap,0.01,0,961,1.0,1.0,1
logreg,shap,0.01,0,967,1.0,1.0,1
logreg,shap,0.01,0,976,1.0,1.0,1
logreg,shap,0.01,0,990,1.0,1.0,1
logreg,shap,0.01,0,993,1.0,1.0,1
logreg,shap,0.01,0,996,1.0,1.0,1
logreg,shap,0.01,0,1014,1.0,1.0,1
logreg,shap,0.01,0,1015,1.0,1.0,1
logreg,shap,0.01,0,1019,1.0,1.0,1
logreg,shap,0.01,0,1023,1.0,1.0,1
logreg,shap,0.01,0,1027,0.9982456140350877,1.0,1
logreg,shap,0.01,0,1028,1.0,1.0,1
logreg,shap,0.01,0,1031,1.0,1.0,1
logreg,shap,0.01,0,1039,1.0,1.0,1
logreg,shap,0.01,0,1043,1.0,1.0,1
logreg,shap,0.01,0,1052,1.0,1.0,1
logreg,shap,0.01,0,1063,1.0,1.0,1
logreg,shap,0.01,0,1065,1.0,1.0,1
logreg,shap,0.01,0,1070,1.0,1.0,1
logreg,shap,0.01,0,1073,1.0,1.0,1
logreg,shap,0.01,0,1077,0.9982456140350877,1.0,1
logreg,shap,0.01,0,1087,1.0,1.0,1
logreg,shap,0.01,0,1092,1.0,1.0,1
logreg,shap,0.01,0,1100,1.0,1.0,1
logreg,shap,0.01,0,1112,1.0,1.0,1
logreg,shap,0.01,0,1116,1.0,1.0,1
logreg,shap,0.01,0,1119,0.9982456140350877,1.0,1
logreg,shap,0.01,0,1137,1.0,1.0,1
logreg,shap,0.01,0,1138,1.0,1.0,1
logreg,shap,0.01,0,1151,1.0,1.0,1
logreg,shap,0.01,0,1152,1.0,1.0,1
logreg,shap,0.01,0,1160,0.9982456140350877,1.0,1
logreg,shap,0.01,0,1167,1.0,1.0,1
logreg,shap,0.01,0,1187,1.0,1.0,1
logreg,shap,0.01,0,1209,1.0,1.0,1
logreg,shap,0.01,0,1214,1.0,1.0,1
logreg,shap,0.01,0,1227,0.9982456140350877,1.0,1
logreg,shap,0.01,0,1237,1.0,1.0,1
logreg,shap,0.01,0,1246,1.0,1.0,1
logreg,shap,0.01,0,1256,1.0,1.0,1
logreg,shap,0.01,0,1259,1.0,1.0,1
logreg,shap,0.01,0,1299,1.0,1.0,1
logreg,shap,0.01,0,1300,1.0,1.0,1
logreg,shap,0.01,0,1309,1.0,1.0,1
logreg,shap,0.01,0,1314,1.0,1.0,1
logreg,shap,0.01,0,1316,1.0,1.0,1
logreg,shap,0.01,0,1322,1.0,1.0,1
logreg,shap,0.01,0,1339,1.0,1.0,1
logreg,shap,0.01,0,1340,1.0,1.0,1
logreg,shap,0.01,0,1343,0.9982456140350877,1.0,1
logreg,shap,0.01,0,1344,1.0,1.0,1
logreg,shap,0.01,0,1348,1.0,1.0,1
logreg,shap,0.01,0,1351,1.0,1.0,1
logreg,shap,0.01,0,1354,1.0,1.0,1
logreg,shap,0.01,0,1360,1.0,1.0,1
logreg,shap,0.01,0,1368,1.0,1.0,1
logreg,shap,0.01,0,1379,1.0,1.0,1
logreg,shap,0.01,0,1383,1.0,1.0,1
logreg,shap,0.01,0,1389,0.9964912280701754,1.0,1
logreg,shap,0.01,0,1392,1.0,1.0,1
logreg,shap,0.01,0,1395,1.0,1.0,1
logreg,shap,0.01,1,9,1.0,1.0,1
logreg,shap,0.01,1,31,1.0,1.0,1
logreg,shap,0.01,1,41,1.0,1.0,1
logreg,shap,0.01,1,46,1.0,1.0,1
logreg,shap,0.01,1,49,1.0,1.0,1
logreg,shap,0.01,1,55,1.0,1.0,1
logreg,shap,0.01,1,79,1.0,1.0,1
logreg,shap,0.01,1,84,1.0,1.0,1
logreg,shap,0.01,1,97,1.0,1.0,1
logreg,shap,0.01,1,104,1.0,1.0,1
logreg,shap,0.01,1,105,1.0,1.0,1
logreg,shap,0.01,1,107,1.0,1.0,1
logreg,shap,0.01,1,114,1.0,1.0,1
logreg,shap,0.01,1,121,1.0,1.0,1
logreg,shap,0.01,1,122,1.0,1.0,1
logreg,shap,0.01,1,123,1.0,1.0,1
logreg,shap,0.01,1,125,1.0,1.0,1
logreg,shap,0.01,1,146,1.0,1.0,1
logreg,shap,0.01,1,151,1.0,1.0,1
logreg,shap,0.01,1,156,1.0,1.0,1
logreg,shap,0.01,1,165,1.0,1.0,1
logreg,shap,0.01,1,166,0.9982456140350877,1.0,1
logreg,shap,0.01,1,171,0.9982456140350877,1.0,1
logreg,shap,0.01,1,182,1.0,1.0,1
logreg,shap,0.01,1,184,0.9894736842105263,0.8,1
logreg,shap,0.01,1,194,1.0,1.0,1
logreg,shap,0.01,1,205,1.0,1.0,1
logreg,shap,0.01,1,206,1.0,1.0,1
logreg,shap,0.01,1,211,1.0,1.0,1
